Num   theta     phi         ul          ul_err     nsamples
351   1.487    2.945   4.482337e-15  2.569587e-16   100000 
352   1.487    3.142   3.868437e-15  1.576278e-16   100000 
353   1.487    3.338   3.320560e-15  1.217926e-16   100000 
354   1.487    3.534   2.974407e-15  9.087702e-17   100000 
355   1.487    3.731   2.667011e-15  9.111952e-17   100000 
356   1.487    3.927   2.720936e-15  1.183711e-16   100000 
357   1.487    4.123   2.409924e-15  1.296714e-16   100000 
358   1.487    4.320   2.198115e-15  7.850255e-17   100000 
359   1.487    4.516   2.055189e-15  7.201831e-17   100000 
360   1.487    4.712   2.066423e-15  5.476444e-17   100000 
361   1.487    4.909   2.071210e-15  1.004799e-16   100000 
362   1.487    5.105   2.467304e-15  7.974951e-17   100000 
363   1.487    5.301   2.567058e-15  6.786382e-17   100000 
364   1.487    5.498   2.300146e-15  9.969225e-17   100000 
365   1.487    5.694   2.392110e-15  6.464077e-17   100000 
366   1.487    5.890   2.594984e-15  7.203215e-17   100000 
367   1.487    6.087   3.146819e-15  9.385577e-17   100000 
368   1.571    0.098   3.732864e-15  1.199803e-16   100000 
369   1.571    0.295   4.794863e-15  2.094228e-16   100000 
370   1.571    0.491   5.937265e-15  2.732820e-16   100000 
371   1.571    0.687   6.809970e-15  2.250141e-16   100000 
372   1.571    0.884   8.969079e-15  2.490292e-16   100000 
373   1.571    1.080   1.058279e-14  3.462002e-16   100000 
374   1.571    1.276   1.199889e-14  4.219881e-16   100000 
375   1.571    1.473   1.213816e-14  3.600927e-16   100000 
376   1.571    1.669   1.202107e-14  3.107110e-16   100000 
377   1.571    1.865   1.181605e-14  4.370058e-16   100000 
378   1.571    2.062   1.068883e-14  2.587479e-16   100000 
379   1.571    2.258   9.771638e-15  2.935385e-16   100000 
380   1.571    2.454   8.029441e-15  2.661447e-16   100000 
381   1.571    2.651   6.390926e-15  2.761566e-16   99900  
382   1.571    2.847   5.257316e-15  2.211893e-16   100000 
383   1.571    3.043   4.332571e-15  1.731239e-16   100000 
384   1.571    3.240   3.841864e-15  1.711502e-16   100000 
385   1.571    3.436   3.266654e-15  1.450473e-16   100000 
386   1.571    3.632   2.834532e-15  9.181249e-17   100000 
387   1.571    3.829   2.704310e-15  1.056954e-16   100000 
388   1.571    4.025   2.508357e-15  7.957761e-17   100000 
389   1.571    4.222   2.136914e-15  7.847168e-17   100000 
390   1.571    4.418   2.213343e-15  7.774233e-17   100000 
391   1.571    4.614   2.167917e-15  6.467396e-17   100000 
392   1.571    4.811   2.239364e-15  1.007981e-16   100000 
393   1.571    5.007   2.071261e-15  8.159923e-17   100000 
394   1.571    5.203   2.448541e-15  7.195747e-17   100000 
395   1.571    5.400   2.475861e-15  8.242437e-17   99900  
396   1.571    5.596   2.247162e-15  8.327849e-17   100000 
397   1.571    5.792   2.526607e-15  7.349316e-17   100000 
398   1.571    5.989   2.729993e-15  1.025365e-16   100000 
399   1.571    6.185   3.109009e-15  1.022956e-16   100000 
400   1.654    0.000   3.433710e-15  8.980011e-17   100000 
401   1.654    0.196   4.005568e-15  1.538007e-16   100000 
402   1.654    0.393   5.169544e-15  2.632156e-16   100000 
403   1.654    0.589   6.697172e-15  2.072823e-16   100000 
404   1.654    0.785   7.923085e-15  2.416753e-16   100000 
405   1.654    0.982   8.969605e-15  2.672073e-16   100000 
406   1.654    1.178   1.043770e-14  3.480440e-16   100000 
407   1.654    1.374   1.137956e-14  4.446762e-16   100000 
408   1.654    1.571   1.222059e-14  3.134501e-16   100000 
409   1.654    1.767   1.188725e-14  3.506563e-16   100000 
410   1.654    1.963   1.178004e-14  3.869449e-16   100000 
411   1.654    2.160   1.050772e-14  3.507095e-16   99900  
412   1.654    2.356   8.796386e-15  2.722294e-16   100000 
413   1.654    2.553   6.838306e-15  1.981950e-16   100000 
414   1.654    2.749   5.698074e-15  2.831693e-16   100000 
415   1.654    2.945   4.678331e-15  1.875953e-16   99900  
416   1.654    3.142   4.020121e-15  1.667043e-16   99900  
417   1.654    3.338   3.367746e-15  9.358318e-17   100000 
418   1.654    3.534   2.882214e-15  8.834656e-17   100000 
419   1.654    3.731   2.713589e-15  1.018079e-16   100000 
420   1.654    3.927   2.622814e-15  1.178311e-16   100000 
421   1.654    4.123   2.467606e-15  8.878010e-17   100000 
422   1.654    4.320   2.218586e-15  8.926878e-17   100000 
423   1.654    4.516   2.175841e-15  9.057938e-17   100000 
424   1.654    4.712   2.372146e-15  7.147089e-17   100000 
425   1.654    4.909   2.182544e-15  9.438747e-17   100000 
426   1.654    5.105   2.217192e-15  7.143532e-17   100000 
427   1.654    5.301   2.468140e-15  6.189253e-17   100000 
428   1.654    5.498   2.359363e-15  7.780676e-17   100000 
429   1.654    5.694   2.338342e-15  8.950024e-17   100000 
430   1.654    5.890   2.584672e-15  7.064342e-17   99900  
431   1.654    6.087   2.874697e-15  8.068363e-17   100000 
432   1.738    0.098   3.446165e-15  1.013383e-16   100000 
433   1.738    0.295   4.430634e-15  1.557721e-16   100000 
434   1.738    0.491   5.344507e-15  1.421013e-16   100000 
435   1.738    0.687   6.726154e-15  2.374924e-16   100000 
436   1.738    0.884   8.271634e-15  3.405306e-16   99900  
437   1.738    1.080   9.524234e-15  2.540600e-16   100000 
438   1.738    1.276   1.043973e-14  3.438519e-16   99900  
439   1.738    1.473   1.129832e-14  3.269803e-16   100000 
440   1.738    1.669   1.189201e-14  3.984766e-16   100000 
441   1.738    1.865   1.120975e-14  2.886243e-16   100000 
442   1.738    2.062   1.080719e-14  3.302455e-16   100000 
443   1.738    2.258   8.341481e-15  1.939109e-16   100000 
444   1.738    2.454   7.388641e-15  2.900845e-16   99900  
445   1.738    2.651   5.881584e-15  1.909467e-16   100000 
446   1.738    2.847   4.914238e-15  2.082411e-16   100000 
447   1.738    3.043   4.422445e-15  1.823374e-16   100000 
448   1.738    3.240   3.637411e-15  1.275845e-16   100000 
449   1.738    3.436   3.117503e-15  8.056135e-17   99900  
450   1.738    3.632   2.715169e-15  8.813272e-17   100000 
451   1.738    3.829   2.682274e-15  1.097543e-16   100000 
452   1.738    4.025   2.695042e-15  1.165659e-16   100000 
453   1.738    4.222   2.281534e-15  8.579430e-17   99900  
454   1.738    4.418   2.203098e-15  9.057144e-17   100000 
455   1.738    4.614   2.216378e-15  6.976280e-17   100000 
456   1.738    4.811   2.263809e-15  8.499881e-17   100000 
457   1.738    5.007   2.214490e-15  8.098712e-17   100000 
458   1.738    5.203   2.217594e-15  6.040095e-17   99900  
